epoch	p920	p921	p922
1788095024.254	0/0	0/0	0/0
1788095024.290	0/0	0/0	0/0
1788095024.326	0/0	0/0	0/0
1788095024.359	0/0	0/0	0/0
1788095024.394	0/0	0/0	0/0
1788095024.431	0/0	0/0	0/0
1788095024.464	0/0	0/0	0/0
1788095024.494	0/0	0/0	0/0
1788095024.520	0/0	0/0	0/0
1788095024.544	0/0	0/0	0/0
1788095024.566	0/0	0/0	0/0
1788095024.586	0/0	0/0	0/0
1788095024.606	0/0	0/0	0/0
1788095024.623	0/0	0/0	0/0
1788095024.639	0/0	0/0	0/0
1788095024.655	0/0	0/0	0/0
1788095024.670	0/0	0/0	0/0
1788095024.687	0/0	0/0	0/0
1788095024.703	0/0	0/0	0/0
1788095024.719	0/0	0/0	0/0
1788095024.735	0/0	0/0	0/0
1788095024.750	0/0	0/0	0/0
1788095024.766	0/0	0/0	0/0
1788095024.781	0/0	0/0	0/0
1788095024.798	0/0	0/0	0/0
1788095024.813	0/0	0/0	0/0
1788095024.830	0/0	0/0	0/0
1788095024.846	0/0	0/0	0/0
1788095024.862	0/0	0/0	0/0
1788095024.878	0/0	0/0	0/0
1788095024.895	0/0	0/0	0/0
1788095024.911	0/0	0/0	0/0
1788095024.926	0/0	0/0	0/0
1788095024.943	0/0	0/0	0/0
1788095024.959	0/0	0/0	0/0
1788095024.975	0/0	0/0	0/0
1788095024.992	0/0	0/0	0/0
1788095025.008	0/0	0/0	0/0
1788095025.025	0/0	0/0	0/0
1788095025.042	0/0	0/0	0/0
1788095025.059	0/0	0/0	0/0
1788095025.076	0/0	0/0	0/0
1788095025.092	0/0	0/0	0/0
1788095025.109	0/0	0/0	0/0
1788095025.125	0/0	0/0	0/0
1788095025.142	0/0	0/0	0/0
1788095025.158	0/0	0/0	0/0
1788095025.174	0/0	0/0	0/0
1788095025.190	0/0	0/0	0/0
1788095025.205	0/0	0/0	0/0
1788095025.221	0/0	0/0	0/0
1788095025.236	0/0	0/0	0/0
1788095025.252	0/0	0/0	0/0
1788095025.272	0/0	0/0	0/0
1788095025.297	0/0	0/0	0/0
1788095025.320	0/0	0/0	0/0
1788095025.343	0/0	0/0	0/0
