-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.19, port 52744
[  8] local 10.0.0.51 port 5201 connected to 10.0.0.19 port 50167
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8] 227.00-228.00 sec   276 KBytes  2.27 Mbits/sec  4.894 ms  203/405 (50%)  
[  8] 228.00-229.00 sec   197 KBytes  1.61 Mbits/sec  4.609 ms  318/462 (69%)  
[  8] 229.00-230.00 sec   183 KBytes  1.50 Mbits/sec  5.485 ms  343/477 (72%)  
[  8] 230.00-231.00 sec   194 KBytes  1.59 Mbits/sec  4.594 ms  265/407 (65%)  
[  8] 231.00-232.00 sec   253 KBytes  2.07 Mbits/sec  10.189 ms  249/434 (57%)  
[  8] 232.00-233.00 sec   246 KBytes  2.02 Mbits/sec  3.260 ms  283/463 (61%)  
[  8] 233.00-234.00 sec   221 KBytes  1.81 Mbits/sec  7.343 ms  128/290 (44%)  
[  8] 234.00-235.00 sec   189 KBytes  1.55 Mbits/sec  6.814 ms  269/407 (66%)  
[  8] 235.00-236.00 sec   196 KBytes  1.60 Mbits/sec  6.540 ms  430/573 (75%)  
[  8] 236.00-237.00 sec   160 KBytes  1.31 Mbits/sec  5.342 ms  348/465 (75%)  
[  8] 237.00-238.00 sec   163 KBytes  1.33 Mbits/sec  5.385 ms  269/388 (69%)  
[  8] 238.00-239.00 sec   164 KBytes  1.34 Mbits/sec  4.003 ms  290/410 (71%)  
[  8] 239.00-240.00 sec   171 KBytes  1.40 Mbits/sec  6.451 ms  372/497 (75%)  
[  8] 240.00-241.00 sec   160 KBytes  1.31 Mbits/sec  7.986 ms  344/461 (75%)  
[  8] 241.00-242.00 sec   154 KBytes  1.27 Mbits/sec  7.990 ms  343/456 (75%)  
[  8] 242.00-243.00 sec   139 KBytes  1.14 Mbits/sec  9.835 ms  297/399 (74%)  
[  8] 243.00-244.00 sec   146 KBytes  1.20 Mbits/sec  7.307 ms  251/358 (70%)  
[  8] 244.00-245.00 sec  76.6 KBytes   628 Kbits/sec  12.912 ms  433/489 (89%)  
[  8] 245.00-246.00 sec  86.1 KBytes   706 Kbits/sec  9.669 ms  337/400 (84%)  
[  8] 246.00-247.00 sec   107 KBytes   873 Kbits/sec  6.867 ms  424/502 (84%)  
[  8] 247.00-248.00 sec   253 KBytes  2.07 Mbits/sec  4.012 ms  391/576 (68%)  
[  8] 248.00-249.00 sec   137 KBytes  1.12 Mbits/sec  10.160 ms  413/513 (81%)  
[  8] 249.00-250.00 sec   115 KBytes   941 Kbits/sec  8.182 ms  278/362 (77%)  
[  8] 250.00-251.00 sec  76.6 KBytes   627 Kbits/sec  7.633 ms  381/437 (87%)  
